#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_shaolin_monks;Shaolin Monks;Moine de Shaolin;Shaolin Mönch;;Monje Shaolin;;;;;;;;;x
e_black_turtle;Empire of the Black Turtle;;;;;;;;;;;;;x
e_yellow_dragon;Empire of the Yellow Dragon;;;;;;;;;;;;;x
e_azure_dragon;Empire of the Azure Dragon;;;;;;;;;;;;;x
e_white_tiger;Empire of the White Tiger;;;;;;;;;;;;;x
e_vermilion_bird;Empire of the Vermilion Bird;;;;;;;;;;;;;x
k_yamatai;Yamatai;Yamatai;Yamatai;;Yamatai;;;;;;;;;x
e_white_and_lofty;Great State of White and Lofty;;;;;;;;;;;;;x
k_gaya;Gaya Confederacy;Confédération Gaya;Gaya Konföderation;;Confederación de Gaya;;;;;;;;;x
e_northern_plain;Empire of the Northern Plain;;;;;;;;;;;;;x
e_eastern_reaches;Empire of the Eastern Reaches;;;;;;;;;;;;;x
e_divine_peerage;Empire of the Divine Peerage;;;;;;;;;;;;;x
e_martial_virtue;Empire of the Martial Virtue;;;;;;;;;;;;;x
e_grand_path;Empire of the Grand Path;;;;;;;;;;;;;x
e_enlightened_culture;Empire of the Enlightened Culture;;;;;;;;;;;;;x
e_eternal_prosperity;Empire of the Eternal Prosperity;;;;;;;;;;;;;x
e_perpetual_peace;Empire of the Perpetual Peace;;;;;;;;;;;;;x
e_divine_dragon;Empire of the Divine Dragon;;;;;;;;;;;;;x
e_heavenly_treasure;Empire of the Heavenly Treasure;;;;;;;;;;;;;x
e_ultimate_virtue;Empire of the Ultimate Virtue;;;;;;;;;;;;;x
e_eternal_greatness;Empire of the Eternal Greatness;;;;;;;;;;;;;x
e_virtuous_era;Empire of the Virtuous Era;;;;;;;;;;;;;x
e_cultured_virtue;Empire of the Cultured Virtue;;;;;;;;;;;;;x
e_enlightened_virtue;Empire of the Enlightened Virtue;;;;;;;;;;;;;x
e_eternal_health;Empire of the Eternal Health;;;;;;;;;;;;;x
e_benevolent_peace;Empire of the Benevolent Peace;;;;;;;;;;;;;x
e_eternal_virtue;Empire of the Eternal Virtue;;;;;;;;;;;;;x
e_white_pheasant;Empire of the White Pheasant;;;;;;;;;;;;;x
e_great_treasure;Empire of the Great Treasure;;;;;;;;;;;;;x
e_auspicious_clouds;Empire of the Auspicious Clouds;;;;;;;;;;;;;x
e_spirit_tortoise;Empire of the Spirit Tortoise;;;;;;;;;;;;;x
e_divine_tortoise;Empire of the Divine Tortoise;;;;;;;;;;;;;x
e_heavenly_peace;Empire of the Heavenly Peace;;;;;;;;;;;;;x
e_precious_tortoise;Empire of the Precious Tortoise;;;;;;;;;;;;;x
e_auspicious_excellence;Empire of the Auspicious Excellence;;;;;;;;;;;;;x
e_heavenly_rule;Empire of the Heavenly Rule;;;;;;;;;;;;;x
e_heavenly_virtue;Empire of the Heavenly Virtue;;;;;;;;;;;;;x
e_great_peace;Empire of the Great Peace;;;;;;;;;;;;;x
e_heavenly_fortune;Empire of the Heavenly Fortune;;;;;;;;;;;;;x
e_clear_path;Empire of the Clear Path;;;;;;;;;;;;;x
e_dragon_seal;Empire of the Dragon Seal;;;;;;;;;;;;;x
e_all_under_heaven;All Under Heaven;;;;;;;;;;;;;x
e_jade_dragon;Empire of the Jade Dragon;;;;;;;;;;;;;x
e_celestial_dragon_empire;Celestial Dragon Empire;;;;;;;;;;;;;x
e_perfect_harmony;Empire of Perfect Harmony;;;;;;;;;;;;;x
e_auspicious_birthright;Empire of the Auspicious Birthright;;;;;;;;;;;;;x
e_dragons_fury;Empire of the Dragon's Fury;;;;;;;;;;;;;x
e_four_seas;Empire of the Four Seas;;;;;;;;;;;;;x
e_celestial_empire;Celestial Empire;;;;;;;;;;;;;x
e_rivers_and_lakes;Land of Rivers and Lakes;;;;;;;;;;;;;x
e_heavenly_dynasty;Empire of the Heavenly Dynasty;;;;;;;;;;;;;x
e_beautiful_grandeur;Empire of Beautiful Grandeur;;;;;;;;;;;;;x
e_endless_glory;Empire of Endless Glory;;;;;;;;;;;;;x
e_lasting_integrity;Empire of Lasting Integrity;;;;;;;;;;;;;x
e_unyielding_fidelity;Empire of Unyielding Fidelity;;;;;;;;;;;;;x
e_radiant_empire;Radiant Empire;;;;;;;;;;;;;x
e_unmatched_honor;Empire of Unmatched Honor;;;;;;;;;;;;;x
e_eternal_empire;Eternal Empire;;;;;;;;;;;;;x
e_blessed_realm;Blessed Realm;;;;;;;;;;;;;x
e_phoenix_ascendant;Empire of the Phoenix Ascendant;;;;;;;;;;;;;x
e_celestial_scion;Empire of the Celestial Scion;;;;;;;;;;;;;x
e_lotus_throne;Empire of the Lotus Throne;;;;;;;;;;;;;x
e_silk_and_steel;Empire of Silk and Steel;;;;;;;;;;;;;x
e_tranquility;Empire of Tranquility;;;;;;;;;;;;;x
e_peach_blossoms;Empire of the Peach Blossoms;;;;;;;;;;;;;x
e_dragon;Empire of the Dragon;;;;;;;;;;;;;x
e_proper_and_enlightened;Proper and Enlightened Empire;;;;;;;;;;;;;x
e_jade_gate;Empire of the Jade Gate;;;;;;;;;;;;;x
e_phoenix_throne;Empire of the Phoenix Throne;;;;;;;;;;;;;x
e_bright_flame;Empire of the Bright Flame;;;;;;;;;;;;;x
e_heavenly_empire;Heavenly Empire;;;;;;;;;;;;;x
e_great_uniter;Empire of the Great Uniter;;;;;;;;;;;;;x
e_eternal_peace;Empire of Eternal Peace;;;;;;;;;;;;;x
e_constant_peace;Empire of Constant Peace;;;;;;;;;;;;;x
e_immortal_empire;Immortal Empire;;;;;;;;;;;;;x
e_spirit_guardian;Empire of the Spirit Guardian;;;;;;;;;;;;;x
e_moon_rabbit;Empire ofthe Moon Rabbit;;;;;;;;;;;;;x
e_white_dragon_horse;Empire of the White Dragon Horse;;;;;;;;;;;;;x
e_heavenly_horse;Empire of the Heavenly Horse;;;;;;;;;;;;;x
e_soaring_snake;Empire of the Soaring Snake;;;;;;;;;;;;;x
e_heavenly_dragon;Empire of the Heavenly Dragon;;;;;;;;;;;;;x
e_guardian_lion;Empire of the Guardian Lion;;;;;;;;;;;;;x
e_wuxing;Empire of the Five Elements;;;;;;;;;;;;;x
e_exalted_empire;Exalted Empire;;;;;;;;;;;;;x
e_yin_and_yang;Empire of Yin and Yang;;;;;;;;;;;;;x
e_filial_piety;Empire of Filial Piety;;;;;;;;;;;;;x
e_wood_rat;Empire of the Wood Rat;;;;;;;;;;;;;x
e_wood_ox;Empire of the Wood Ox;;;;;;;;;;;;;x
e_fire_tiger;Empire of the Fire Tiger;;;;;;;;;;;;;x
e_fire_rabbit;Empire of the Fire Rabbit;;;;;;;;;;;;;x
e_earth_dragon;Empire of the Earth Dragon;;;;;;;;;;;;;x
e_earth_snake;Empire of the Earth Snake;;;;;;;;;;;;;x
e_metal_horse;Empire of the Metal Horse;;;;;;;;;;;;;x
e_metal_goat;Empire of the Metal Goat;;;;;;;;;;;;;x
e_water_monkey;Empire of the Water Monkey;;;;;;;;;;;;;x
e_water_rooster;Empire of the Water Rooster;;;;;;;;;;;;;x
e_wood_dog;Empire of the Wood Dog;;;;;;;;;;;;;x
e_wood_pig;Empire of the Wood Pig;;;;;;;;;;;;;x
e_fire_rat;Empire of the Fire Rat;;;;;;;;;;;;;x
e_fire_ox;Empire of the Fire Ox;;;;;;;;;;;;;x
e_earth_tiger;Empire of the Earth Tiger;;;;;;;;;;;;;x
e_earth_rabbit;Empire of the Earth Rabbit;;;;;;;;;;;;;x
e_metal_dragon;Empire of the Metal Dragon;;;;;;;;;;;;;x
e_metal_snake;Empire of the Metal Snake;;;;;;;;;;;;;x
e_water_horse;Empire of the Water Horse;;;;;;;;;;;;;x
e_water_goat;Empire of the Water Goat;;;;;;;;;;;;;x
e_wood_monkey;Empire of the Wood Monkey;;;;;;;;;;;;;x
e_wood_rooster;Empire of the Wood Rooster;;;;;;;;;;;;;x
e_fire_dog;Empire of the Fire Dog;;;;;;;;;;;;;x
e_fire_pig;Empire of the Fire Pig;;;;;;;;;;;;;x
e_earth_rat;Empire of the Earth Rat;;;;;;;;;;;;;x
e_earth_ox;Empire of the Earth Ox;;;;;;;;;;;;;x
e_metal_tiger;Empire of the Metal Tiger;;;;;;;;;;;;;x
e_metal_rabbit;Empire of the Metal Rabbit;;;;;;;;;;;;;x
e_water_dragon;Empire of the Water Dragon;;;;;;;;;;;;;x
e_water_snake;Empire of the Water Snake;;;;;;;;;;;;;x
e_wood_horse;Empire of the Wood Horse;;;;;;;;;;;;;x
e_wood_goat;Empire of the Wood Goat;;;;;;;;;;;;;x
e_fire_monkey;Empire of the Fire Monkey;;;;;;;;;;;;;x
e_fire_rooster;Empire of the Fire Rooster;;;;;;;;;;;;;x
e_earth_dog;Empire of the Earth Dog;;;;;;;;;;;;;x
e_earth_pig;Empire of the Earth Pig;;;;;;;;;;;;;x
e_metal_rat;Empire of the Metal Rat;;;;;;;;;;;;;x
e_metal_ox;Empire of the Metal Ox;;;;;;;;;;;;;x
e_water_tiger;Empire of the Water Tiger;;;;;;;;;;;;;x
e_water_rabbit;Empire of the Water Rabbit;;;;;;;;;;;;;x
e_wood_dragon;Empire of the Wood Dragon;;;;;;;;;;;;;x
e_wood_snake;Empire of the Wood Snake;;;;;;;;;;;;;x
e_fire_horse;Empire of the Fire Horse;;;;;;;;;;;;;x
e_fire_goat;Empire of the Fire Goat;;;;;;;;;;;;;x
e_earth_monkey;Empire of the Earth Monkey;;;;;;;;;;;;;x
e_earth_rooster;Empire of the Earth Rooster;;;;;;;;;;;;;x
e_metal_dog;Empire of the Metal Dog;;;;;;;;;;;;;x
e_metal_pig;Empire of the Metal Pig;;;;;;;;;;;;;x
e_water_rat;Empire of the Water Rat;;;;;;;;;;;;;x
e_water_ox;Empire of the Water Ox;;;;;;;;;;;;;x
e_wood_tiger;Empire of the Wood Tiger;;;;;;;;;;;;;x
e_wood_rabbit;Empire of the Wood Rabbit;;;;;;;;;;;;;x
e_fire_dragon;Empire of the Fire Dragon;;;;;;;;;;;;;x
e_fire_snake;Empire of the Fire Snake;;;;;;;;;;;;;x
e_earth_horse;Empire of the Earth Horse;;;;;;;;;;;;;x
e_earth_goat;Empire of the Earth Goat;;;;;;;;;;;;;x
e_metal_monkey;Empire of the Metal Monkey;;;;;;;;;;;;;x
e_metal_rooster;Empire of the Metal Rooster;;;;;;;;;;;;;x
e_water_dog;Empire of the Water Dog;;;;;;;;;;;;;x
e_water_pig;Empire of the Water Pig;;;;;;;;;;;;;x
