chinese_arm_protector;Chinese Arm Protector;Brassard chinois;Chinesischer Armschutz;;Protector de brazo chino;;;;;;;;;x
chinese_calligraphy_name;[chinese_artifact_origin.GetAppropriateChinaName] Calligraphy;Calligraphie de la [chinese_artifact_origin.GetAppropriateChinaName];Kalligraphie aus [chinese_artifact_origin.GetAppropriateChinaName];;Caligrafía [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_ceremonial_robes;Ceremonial Robes;Robes de cérémonie;Zeremonielle Roben;;Vestimenta ceremonial;;;;;;;;;x
chinese_ceremonial_robes_desc;A set of traditional Chinese robes used in diplomatic functions, the wearer of these robes stands out and projects an air of power and authority.;Un assortiment de robes traditionnelles chinoises utilisées dans les fonctions diplomatiques. Le porteur de ces robes se distingue par une impression de pouvoir et d'autorité.;Eine Reihe von traditionellen [From.OriginalOwner.Culture.GetName]en Roben, die in diplomatischen Funktionen verwendet werden und den Träger dieser Robe damit auszeichnet, Macht und Autorität zu haben.;;Un conjunto de túnicas tradicionales chinas, utilizadas para funciones diplomáticas. Quien las viste destaca y proyecta un aura de poder y autoridad.;;;;;;;;;x
chinese_crossbow;Zhuge Crossbow;Arbalète Zhuge;Zhuge-Armbrust;;Ballesta zhuge;;;;;;;;;x
chinese_crossbow_desc;An elaborate mechanical contraption capable of rapidly firing arrows, even when used with only one hand.;Un engin mécanique élaboré capable de tirer rapidement des flèches, même lorsqu'il est utilisé avec une seule main.;Eine aufwändige mechanische Konstruktion, die in der Lage ist, blitzschnell Pfeile abzufeuern, auch wenn sie mit nur einer Hand benutzt wird.;;Un mecanismo complicado capaz de disparar flechas rápidamente, aunque usando solo una mano.;;;;;;;;;x
chinese_dragon_amulet;Dragon Amulet;Amulette dragon;Drachenamulett;;Amuleto de dragón;;;;;;;;;x
chinese_dragon_amulet_desc;A golden amulet in the shape of two dragons entwined together, each dragon head adorned with shining gemstones for eyes.;Une amulette en or en forme de deux dragons entrelacés, chaque tête de dragon est ornée de gemmes brillantes en guise d'yeux.;Ein goldenes Amulett in Form von zwei Drachen, die miteinander verschlungen sind. Jeder Drachenkopf ist mit glänzenden Edelsteinen für die Augen geschmückt.;;Un amuleto dorado en forma de dos dragones entrelazados, con sus cabezas decoradas con gemas por ojos.;;;;;;;;;x
chinese_ji;Ji;Ji;Ji;;Ji;;;;;;;;;x
chinese_ji_desc;A beautifully adorned spear with a crescent blade attached off its side.;Une lance joliment ornée avec une lame croissante attachée sur le côté.;Ein wunderschön geschmückter Speer mit einer halbmondförmigen Klinge, die an seiner Seite befestigt ist.;;Una lanza hermosamente adornada con una hoja en forma de media luna en su extremo.;;;;;;;;;x
chinese_painting_of_glitterhoof;Painting of Shanguang Tí;Peinture de Shanguang Tí;Shanguang Tí;;Pintura de Shanguang Ti;;;;;;;;;x
chinese_painting_of_glitterhoof_desc;A beautiful painting of the horse of a former ruler, a great steed by the name of Shanguang Tí. It is wearing an elaborately crafted silken gown, making it look most regal.;;;;;;;;;;;;;x
ado Shanguang Ti. Lleva una capa de tela muy detallada dándole un aspecto majestuoso.;;;;;;;;;x
chinese_sculpture;Chinese Sculpture;Sculpture de la Chine;Chinesischer Skulptur;;Escultura del arte china;;;;;;;;;x
chinese_sculpture_desc;A sculpture from the courts of the [offmap_china.GetFullGenericName], fit to stand in the presence of the Dragon Throne itself.;;;;;;;;;;;;;x
chinese_sculpture_name;[chinese_artifact_origin.GetAppropriateChinaName] Sculpture;Sculpture de la [chinese_artifact_origin.GetAppropriateChinaName];Skulptur aus [chinese_artifact_origin.GetAppropriateChinaName];;Escultura de arte [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_serpent_spear;Serpent Spear;Lance Serpent;Schlangenspeer;;Lanza serpiente;;;;;;;;;x
chinese_serpent_spear_desc;A spear with a curved tip like a slithering snake, a both beautiful and menacing weapon.;Une lance avec une pointe incurvée tel un serpent ondulant. Une arme belle et menaçante.;Ein Speer mit einer gebogenen Spitze, die wie eine Schlange aussieht. Eine schöne, aber bedrohlich wirkende Waffe.;;Una lanza con una punta curva como una serpiente deslizándose, un arma hermosa y amenazante a la vez.;;;;;;;;;x
chinese_tapestry;Tapestry Depicting Trade;Tapisserie dépeignant le commerce;Wandteppich;;Tapiz mostrando comercio;;;;;;;;;x
chinese_tapestry_desc;A beautiful tapestry depicting a scene from a market on the silk road. Looking at it one can almost hear the jingle of coins and the chattering of a dozen languages.;Une belle tapisserie représentant une scène d'un marché sur la route de la soie. En le regardant, on peut presque entendre le tintement des pièces et les sons d'une douzaine de langues.;Ein schöner Wandteppich, der eine Szene von einem Markt auf der Seidenstraße darstellt. Wenn man ihn betrachtet, kann man schon fast das Klirren der Münzen und das Geschwätz von einem Dutzend Sprachen hören.;;Un hermoso tapiz que muestra una escena de un mercado en la Ruta de la Seda. Viéndolo casi se oye el ruido de las monedas y las charlas en una docena de lenguas.;;;;;;;;;x
chinese_tapestry_grand;Chinese Tapestry;Tapisserie chinoise;Chinesischer Teppich;;Tapiz chino;;;;;;;;;x
chinese_tapestry_grand_desc;A magnificent tapestry showing the splendor of China and its ruler. It depicts Chinese armies in a triumphant victory over a barbaric horde, and a grand dragon - a symbol of imperial authority - looking down at them from the clouds above.;;;;;;;;;;;;;x
chinese_tapestry_grand_name;[chinese_artifact_origin.GetAppropriateChinaName] Tapestry;Tapisserie de la [chinese_artifact_origin.GetAppropriateChinaName];Wandteppich von [chinese_artifact_origin.GetAppropriateChinaName];;Tapiz de [chinese_artifact_origin.GetAppropriateChinaName];;;;;;;;;x
chinese_tapestry_name;Tapestry of [tapestry_target.GetName];Tapisserie de [tapestry_target.GetName];Wandteppich von [tapestry_target.GetName];;Tapiz de [tapestry_target.GetShortName];;;;;;;;;x
jade_dragon;Jade Dragon;Dragon de Jade;Jadedrache;;Dragón de jade;;;;;;;;;x
jade_dragon_desc;Desired by many for its intrinsic value and the beautiful design which displays the height of the [offmap_china.GetFullGenericName], this intricately designed dragon made out of jade by a master [From.OriginalOwner.Culture.GetName] craftsman is a very unique treasure.;Nombreux sont ceux qui le veulent pour sa valeur intrinsèque et son esthétique affichant la grandeur de [offmap_china.GetFullGenericName], ce dragon finement sculpté fait en jade par un maître-artisan [From.OriginalOwner.GetCultureMasc] est un trésor unique.;Von vielen für seinen inneren Wert und das schöne Design geschätzt, wurde dieser kompliziert entworfene Drache aus Jade von einem meisterhaften [From.OriginalOwner.Culture.GetName]en Handwerker geschaffen und ist quasi ein einzigartiger Schatz.;;Deseado por muchos por su valor intrínseco y el hermoso diseño que muestra la altura del [offmap_china.GetFullGenericName], este dragón intricadamente diseñado de jade por un maestro artesano [From.OriginalOwner.Culture.GetName] es un tesoro único.;;;;;;;;;x
jian_sword;Jian;Jian;Jian;;Jian;;;;;;;;;x
jian_sword_desc;A twin-edged straight sword commonly used in China, the Jian is a strong and reliable weapon for any aspiring fighter.;Le jian est une épée longue à deux tranchants couramment utilisée en Chine.;Ein zweischneidiges gerades Schwert, das häufig in China verwendet wurde. Das Jian ist eine starke und zuverlässige Waffe für jeden aufstrebenden Kämpfer.;;Como espada de doble filo usada comúnmente en China, la jian es un arma fuerte y fiable para todo guerrero ambicioso.;;;;;;;;;x
silk_shroud;Silk Shroud;Linceul en soie;Seidenumhang;;Velo de seda;;;;;;;;;x
silk_shroud_desc;Rumored to have belonged to the renowned Wu Zetian, Empress of China, this masterfully crafted silk shroud shimmers in the light and draws the attention of all who see it.;Réputé avoir appartenu à Wu Zetian, Impératrice de Chine, ce linceul en soie réalisé de main de maître chatoie et captive tous ceux qui l'aperçoivent.;Gerüchten zufolge hat dieses meisterhaft gearbeitete Seidenkleid Wu Zetian, der Kaiserin von China gehört. Es schimmert im Licht und zieht die Aufmerksamkeit von allen an, die es sehen.;;Este velo de seda magistralmente confeccionado, del que se rumorea que perteneció a la famosa Wu Zetian, emperatriz de China, centellea a la luz y atrae la atención de todo el que lo ve.;;;;;;;;;x
water_clock;Water Clock;Clepsydre;Wasseruhr;;Reloj de agua.;;;;;;;;;x
water_clock_desc;Developed thousands of years ago in ancient China, the water clock is a means of tracking time by the movement of water.;Développée il y a des centaines d'années dans la Chine antique, la clepsydre est un moyen de compter le temps par le mouvement de l'eau.;Entwickelt vor Tausenden von Jahren im alten China, ist die Wasseruhr ein Mittel, um die Zeit durch die Bewegung des Wassers zu verfolgen.;;Desarrollado hace miles de años en la antigua China, el reloj de agua es un medio para seguir el paso del tiempo usando el movimiento del agua.;;;;;;;;;x
