#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JDEXTRA_2018;When visiting a city that recently suffered from an epidemic, your agents encountered a physician of some fame who offered to sell them a [Root.GetAppropriateChinaAdj] Compendium of Medicine for a surprisingly small amount of money.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2019;A scribe who helped with the legal work following a minor dispute between two noble families has been in contact with your agents, offering to sell them a [Root.GetAppropriateChinaAdj] Treatise on Law for a much lower amount of gold than expected.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2020;One of your agents came across a merchant possessing a [Root.GetAppropriateChinaAdj] Chronicle of Economic Principle just as the woman was about to leave your capital. She has offered to sell the book at a discount, but as she is in a hurry to leave you need to respond quickly.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2021;Despite having several agents searching for Chinese artifacts, it is one of your bodyguards who brings you the news that there is a trader at the marketplace who is willing to part with a Water Clock for a surprisingly small amount of money.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2022;A well-known swordsman has approached one of your agents with an offer to sell them a Jian that he no longer needs. Despite the quality of the blade, the man's price is very low.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2023;By pure chance, a messenger in your service came across a minor nobleman in possession of a Dragon Amulet that he appears eager to get rid of. The offer your man was given is quite generous.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2024;During a visit to the marketplace you come across a merchant in possession of various trinkets of varied origin. One of those trinkets is a Jade Dragon that the merchant apparently has no idea what it is worth, since he offers to sell it for a very small sum.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2025;Sun Tzu wrote the Art of War over a millenia ago, but its wisdom is still valid and your agents have come across an old strategist who is prepared to part with his copy of the book for a modest amount of gold.;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_2026;One of your agents has come across a scholar willing to part with his copy of The Classics of Poetry for a very small amount of money for unknown reasons.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2062;You have been informed that a minor nobleman who just died apparently has named you the heir to a Painting of Shanguang Tí. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2063;You have been informed that a minor nobleman who just died apparently has named you the heir to a Small Figurine. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2064;You have been informed that a minor nobleman who just died apparently has named you the heir to a copy of the History of [Root.GetAppropriateChinaAdj]. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2065;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Arm Protector. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2066;You have been informed that a minor nobleman who just died apparently has named you the heir to a Serpent Spear. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2067;You have been informed that a minor nobleman who just died apparently has named you the heir to a Tapestry Depicting Trade. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2068;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Artwork. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2069;You have been informed that a minor nobleman who just died apparently has named you the heir to some [Root.GetAppropriateChinaAdj] Calligraphy. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2070;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Sculpture. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2071;You have been informed that a minor nobleman who just died apparently has named you the heir to a Silk Shroud. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2072;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Tapestry. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2073;You have been informed that a minor nobleman who just died apparently has named you the heir to a Ji. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2074;You have been informed that a minor nobleman who just died apparently has named you the heir to a Zhuge Crossbow. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2075;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Bronze Sculpture. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2076;You have been informed that a minor nobleman who just died apparently has named you the heir to some Ceremonial Robes. Doubtlessly the man's family would like to keep them despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2077;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Compendium of Medicine. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2078;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Treatise on Law. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2079;You have been informed that a minor nobleman who just died apparently has named you the heir to a [Root.GetAppropriateChinaAdj] Chronicle of Economic Principle. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2080;You have been informed that a minor nobleman who just died apparently has named you the heir to a Water Clock. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2081;You have been informed that a minor nobleman who just died apparently has named you the heir to a Jian. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2082;You have been informed that a minor nobleman who just died apparently has named you the heir to a Dragon Amulet. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2083;You have been informed that a minor nobleman who just died apparently has named you the heir to a Jade Dragon. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2084;You have been informed that a minor nobleman who just died apparently has named you the heir to a copy of The Art of War. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCA_JDEXTRA_2085;You have been informed that a minor nobleman who just died apparently has named you the heir to a copy of The Classic of Poetry. Doubtlessly the man's family would like to keep it despite the nobleman's will granting it to you.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2062;During a visit to the market you come across a merchant selling a Painting of Shanguang Tí. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2063;During a visit to the market you come across a merchant selling a Small Figurine. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2064;During a visit to the market you come across a merchant selling a copy of the History of [Root.GetAppropriateChinaAdj]. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2065;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Arm Protector. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2066;During a visit to the market you come across a merchant selling a Serpent Spear. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2067;During a visit to the market you come across a merchant selling a Tapestry Depicting Trade. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2068;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Artwork. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2069;During a visit to the market you come across a merchant selling some [Root.GetAppropriateChinaAdj] Calligraphy. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2070;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Sculpture. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2071;During a visit to the market you come across a merchant selling a Silk Shroud. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2072;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Tapestry. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2073;During a visit to the market you come across a merchant selling a Ji. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2074;During a visit to the market you come across a merchant selling a Zhuge Crossbow. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2075;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Bronze Sculpture. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2076;During a visit to the market you come across a merchant selling some Ceremonial Robes. The merchant offers to sell them to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2077;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Compendium of Medicine. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2078;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Treatise on Law. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2079;During a visit to the market you come across a merchant selling a [Root.GetAppropriateChinaAdj] Chronicle of Economic Principle. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2080;During a visit to the market you come across a merchant selling a Water Clock. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2081;During a visit to the market you come across a merchant selling a Jian. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2082;During a visit to the market you come across a merchant selling a Dragon Amulet. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2083;During a visit to the market you come across a merchant selling a Jade Dragon. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2084;During a visit to the market you come across a merchant selling a copy of The Art of War. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
EVTDESCB_JDEXTRA_2085;During a visit to the market you come across a merchant selling a copy of The Classic of Poetry. The merchant offers to sell it to you for a reasonable price.;;;;;;;;;;;;;x
chinese_sculpture_desc;chinese_sculpture_desc;A sculpture from the courts of the Middle Kingdom, you can imagine the possessor of the Dragon Throne walking past the sculpture approvingly and commanding one be made for their own use.;Une sculpture de la Cour de l'[offmap_china.GetFullGenericName]. Vous pouvez imaginer l'[offmap_china.Ruler.GetTitle] [offmap_china.Ruler.GetLuiElle]-même passant à côté de la sculpture avec un air approbateur et ordonnant d'en concevoir une pour son usage personnel.;Eine Skulptur aus dem Hofe vom [offmap_china.GetFullGenericName]. Ihr stellt Euch vor, dass [offmap_china.Ruler.Getderdie] [offmap_china.Ruler.GetTitle] [offmap_china.Ruler.GetHerselfHimself] selbst an der Skulptur zustimmend vorbeigeht und eine eigene für sich selbst in Auftrag gibt.;;Una escultura de la corte del [offmap_china.GetFullGenericName]. Te imaginas al/a la [offmap_china.Ruler.GetTitle] pasando por delante de la escultura, aprobándola y encargando otra para sí.;;;;;;;;;x
EVTTITLE_JDEXTRA_1006;A new physician?;;;;;;;;;;;;;;x
EVTDESC_JDEXTRA_1006;A well-known physician, [new_chinese_doctor.GetFullName], is offering you [new_chinese_doctor.GetHerHis] skills in exchange for a small monetary payment. Do you wish to employ [new_chinese_doctor.GetHerHim]?;;;;;;;;;;;;;x
EVTOPTA_JDEXTRA_1006;I could use a physician;;;;;;;;;;;;;;x
EVTOPTB_JDEXTRA_1006;I can't afford that;;;;;;;;;;;;;;x
employ_chinese_physician;Employ Chinese Physician;;;;;;;;;;;;;x
employ_chinese_physician_desc;;;;;;;;;;;;;;x
