#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
convince_to_straighten_up_chinese;Convince to Straighten up;Se reprendre en main;Überrede zur Besserung;;Convencer para enderezar;;;;;;;;;x;;;;;;;;;;;;
convince_to_straighten_up_chinese_desc;Attempt to reason with §Y[This.GetBestName]§!, asking him to clean up his act. There is no guarantee that this will succeed, but having a high Learning or Diplomacy skill will help.;Tenter de raisonner §Y[This.GetBestName]§! en lui demandant de se reprendre en main. La réussite n'est nullement garantie mais une érudition ou une diplomatie élevée vous aidera.;Versucht, §Y[This.GetBestName]§! zu überzeugen, sein Leben in Ordnung zu bringen. Es gibt keine Garantie auf Erfolg, aber hohe Bildung und Diplomatie hilft.;;Intentar razonar con §Y[This.GetBestName]§!, pidiéndole que reforme su conducta. No hay garantías de éxito, pero una habilidad alta de Aprendizaje o Diplomacia ayudará.;;;;;;;;;x;;;;;;;;;;;;
chinese_castrate_decision;Castrate [Root.GetTitledFirstName];Castrer [Root.GetTitledFirstName];[Root.GetTitledFirstName] kastrieren;;Castrado [Root.GetTitledFirstName];;;;;;;;;x
convert_to_spouse_zurvanite;Convert to Zurvanite;Se convertir au zurvanisme;Zu Zurvanit konvertieren;;Convertir a Zurvanismo;;;;;;;;;x
convert_to_spouse_zurvanite_desc;The pillow talk of a spouse or concubine can be very persuasive. Zoroaster was undoubtedly a wise prophet - perhaps life really is a struggle between good and evil?;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives. Zoroastre était évidemment un sage prophète. Peut-être que la vie est vraiment une lutte entre le bien et le mal ?;Das Bettgeflüster einer Gemahlin oder Konkubine kann sehr überzeugend sein. Zoroaster war zweifelsohne ein weiser Prophet – vielleicht ist das Leben wirklich ein Kampf zwischen Gut und Böse?;;Las conversaciones de alcoba con una esposa o concubina pueden resultar muy persuasivas. Zoroastro fue, sin duda, un sabio profeta. ¿Tal vez sea verdad que la vida es realmente una lucha entre el bien y el mal?;;;;;;;;;x
convert_to_spouse_mandean;Convert to Mandaean;Se convertir au mandéisme;Zu Mandäist konvertieren;;Convertir a Mandeismo;;;;;;;;;x
convert_to_spouse_mandean_desc;The pillow talk of a spouse or concubine can be very persuasive. Mani was undoubtedly a wise prophet - perhaps life really is a struggle between good and evil?;Les confidences sur l'oreiller d'un époux, d'une épouse ou d'une concubine peuvent être très persuasives. Mani était évidemment un sage prophète. Peut-être que la vie est vraiment une lutte entre le bien et le mal ?;Das Bettgeflüster einer Gemahlin oder Konkubine kann sehr überzeugend sein. Mani war zweifelsohne ein weiser Prophet – vielleicht ist das Leben wirklich ein Kampf zwischen Gut und Böse?;;La conversación de almohada de una esposa o concubina pueden resultar muy persuasiva. Mani fue, sin duda, un sabio profeta. ¿Tal vez la vida es realmente una lucha entre el bien y el mal?;;;;;;;;;x
#convert_to_spouse_confucian;Convert to Confucianism;Conversion au confucianisme;Konvertiert zum Konfuzianismus;;Convertir al Confucianismo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_spouse_confucian_desc;The pillow talk of a spouse or concubine can be very persuasive. Rules and discipline, this will certainly bring better order...;;;;;;;;;;;;;x;;;;;;;;;;;;
#convert_to_spouse_amidist;Convert to Amidism;Conversion au amidisme;Konvertiert zum Amidismus;;Convertir al Amidismo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_spouse_amidist_desc;The pillow talk of a spouse or concubine can be very persuasive. Enlightenment and understanding as the way to end our suffering, it sounds very sensible...;Entre époux, les confidences sur l'oreiller peuvent avoir un grand pouvoir de persuasion. La compréhension et la richesse spirituelle comme moyen de mettre un terme à nos souffrances... Tout ceci est rempli de bon sens.;Das Bettgeflüster einer Gemahlin oder Konkubine kann sehr überzeugend sein. Erleuchtung und Verständnis - als Pfad zum Ende allen Leids - klingt sehr vernünftig…;;Las charlas íntimas de una esposa o concubina pueden ser muy persuasivas. La ilustración y el conocimiento como forma de detener el sufrimiento, parece muy sensible...;;;;;;;;;x;;;;;;;;;;;;
#convert_to_spouse_taoist;Convert to Taoism;Conversion au taoïsme;Konvertiert zum Taoismus;;Convertir al Taoísmo;;;;;;;;;;x;;;;;;;;;;;
#convert_to_spouse_taoist_desc;The pillow talk of a spouse or concubine can be very persuasive. Living life in harmony sounds like a liberating way to live...;;;;;;;;;;;;;x;;;;;;;;;;;;
commit_seppuku;Commit Seppuku;;;;;;;;;;;;;x
commit_seppuku_desc;You have brought dishonour to the family, the only way to redeem yourself is to commit a ritual suicide.;;;;;;;;;;;;;x
commit_jigaki;Commit Jigaki;;;;;;;;;;;;;x
commit_jigaki_desc;You have brought dishonour to the family, the only way to redeem yourself is to commit a ritual suicide.;;;;;;;;;;;;;x
