#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_IN_001;A sufi merchant has arrived from Arabia. His ship is severely damaged and carries rare goods. His crew are divided weither it was Sea Monsters or the Ocean trade winds that caused the damage.;Le confucianisme est une religion diverse comportant quatre branches principales : le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTTITLE_IN_001;The ship;;;;;;;;;;;;;x
EVTOPTA_IN_005;Evidence?;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_005;Fine the Muslims;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_005;The Sufi are out!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_005;Mount a rigged investigation.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_006;It is claimed that two hindus beat up a Muslim for eating beef. The Muslims angrily protest that Allah is the most peaceful.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_006;Evidence?;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_006;Give compensation.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_006;The Sufi are out!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_006;Mount a rigged investigation.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_007;Jain merchants are encouraging merchants to not do business with the Muslims. They claim Islam is a warlike religion. Muslims from the boat are surrounding Jainist stalls shouting "Allah is the most peaceful".; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_007;Bribe the Jain merchants and Captain.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_007;Enforce religious neutrality.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_007;The Sufi are out!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_007;Jainism is peace to a fault.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_030;It is brought to your attention that several fabrics the Sufi's have sold in fact say "God is great" in Arabic.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_030;Indeed.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_030;OUT! OUT!.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_030;I would love to find out more about this culture.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;

EVTDESC_IN_008;You are in the middle of telling your steward to stop throwing pepper when an Arabic man walks in. He says his name is Muhammid and he is messenger of the one god. He wants you to submit.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_008;Submit? You submit to me!;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_008;I will!.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_008;I will submit my refusal.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_008;Stop throwing pepper!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_009;Muhammid smiles and flies off into the distance.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_009;What?;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_010;Muhammid welcomes you and reveals to you Islamic prayer. He charges you to spread Islam to this distant corner of the Globe.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_010;I am convinced.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_011;Muhammid tells your steward to stop throwing pepper. He does and changes his red turban for a white one.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_011;I am convinced.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_012;Muhammid tells your steward to stop throwing pepper. Your steward picks up the prophet and throws him down a well.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_012;A Well?.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_013;You wake up and realize it was all a dream. You look outside at the half cresent moon and laugh.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_013;Crazy.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_014;You wake up convinced you met Muhammid. You look outside at the half cresent moon and realize this is Allah's will.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_014;I will submit.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_014;Can't even remember his face..;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;

EVTDESC_IN_015;The Sufi sailors are a true gift. They have shared new finds and created excitement in the province. A market has formed around the ship.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_015;All is well.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_015;Share secular items!;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_015;Invite them to stay.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_016;The Sufi sailors have identified with the Hindu community. They identify with the Hindu belief to enjoy the present.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_016;Miracle.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_016;This never lasts;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_016;Invite them to stay.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_017;You recieve a message from the Sufi Captain. His ship is fixed and he is prepared to head back to Arabia. He promises he will make a trade route.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_017;We'll never forget you.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_017;I will invest in it.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_017;We can't forget your teachings.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_018;The captain visits you one sunset. You sup some Sop Buntut together and discuss your respective religions.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_018;I appreciate it.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_018;Islam isn't my cup of tea.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_018;I will convert to Islam.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_019;It is reported that a crowd has broken into the sailors nest and murdered the Islamites; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_019;No.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_019;Allah isn't that great.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_019;I need a share.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_020;It is reported that your soldiers have broken into the sailors nest and murdered the Islamites; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_020;Execute the soldiers.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_020;Allah isn't that great.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_020;I need a share.;Dis-moi du Sufisme.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_021;It is reported that after a fight between the Buddhists and Muslims the Sufi's have quietly slipped away in the night.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_021;Not even a goodbye.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_022;Local merchants are protesting after four of their daughters were seen on the Muslim boat. They returned home way past their curfew. One intends to convert to Islam.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_022;I don't care.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_022;I hope they had fun.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTC_IN_022;Force the Muslims to marry.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTD_IN_022;Expell them.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_023;Your soldiers fight a fierce combat with the crew of the boat. The crew one by one end on the deck or in the sea. You walk onboard and inspect their cargo.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_023;Allah isn't that great.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_024;Your soldiers mass in what isn't a subtle operation. The captain of the boat suddenly steps forward and calls for a duel. You think about it.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_024;Let me set an example. Sword!;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_024;Swords are sharp.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;EVTDESC_IN_023;Your soldiers fight a fierce combat with the crew of the boat. The crew one by one end on the deck or in the sea. You walk onboard and inspect their cargo.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTDESC_IN_025;Your soldiers round up the Muslims and announce they are to be expelled. Despite their protests that their ship is far from sea worthy you order their ship back in the water, then crew back on the ship. Groups of cheering merchants gather as the Muslims sweat to send off their ship.; le ren, le li, le zhong et le xiao. Lorsque vous vous convertissez, vous devez choisir une de ces branches.;Konfuzianismus ist eine vielfältige Religion mit vier Hauptzweigen: Ren, Li, Zhong und Xiao. Wenn Ihr konvertiert, könnt Ihr einen davon auswählen.;;El confucianismo es un religión variada con cuatro ramas principales: Ren, Li, Zhong y Xiao. Cuando te conviertes, debes elegir una.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTA_IN_025;Make a bet where it will sink.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
EVTOPTB_IN_025;It might be lighter to leave cargo.;Ren, menschlichen Altruismus.;;Ren, el altruismo humano.;;;;;;;;;x;;;;;;;;;;;;
